kanji,meanings,readings,stroke_number,unicode
等,and so forth; class (first); equal; etc.; quality; similar,トウ; -ら; など; ひと.しい; と; ひ,12,7B49
童,child; juvenile,ドウ; わらべ; ぱ,12,7AE5
内,among; between; home; house; inside; within,ダイ; ナイ; うち; いと; ただ; ち; のち,4,5185
熱,fever; heat; mania; passion; temperature,ネツ; あつ.い; あた,15,71B1
馬,horse,バ; うま; うま-; ま; た; ばん; め; も,10,99AC
畑,(kokuji); farm; field; garden; one's specialty,-ばたけ; はた; はたけ; かま; まま,9,7551
番,number in a series; turn,バン; つが.い; は; ま,12,756A
美,beautiful; beauty,ビ; ミ; うつく.しい; はる; よし; よしみ; り,9,7F8E
評,comment; criticism; evaluate,ヒョウ,12,8A55
布,cloth; distribute; linen; spread,フ; ホ; きれ; し.く; ぬの; う; の; ほ,5,5E03
福,blessing; fortune; luck; wealth,フク; とし; とみ; ふ; ふき; ふっ; ぼく; よし,13,798F
弁,braid; conical cap; dialect; discrimination; dispose of; distinguish; petal; speech; valve,ヘン; ベン; あらそ.う; かんむり; はなびら; わ.ける; わきま.える; べ,5,5F01
法,law; method; model; principle; rule; system,ハッ; フラン; ホウ; ホッ; のり; ほ,8,6CD5
毎,every,マイ; -ごと.に; ごと; つね,6,6BCE
名,distinguished; name; noted; reputation,ミョウ; メイ; -な; な; と,6,540D
目,care; class; experience; eye; favor; insight; look,ボク; モク; -め; ま-; め; さかん; さがん; さっか; さつか,5,76EE
輸,be inferior; send; transport,シュ; ユ,16,8F38
容,contain; form; looks,ヨウ; い.れる; かた; ひろ; まさ,10,5BB9
浴,bask in; bathe; be favored with,ヨク; あ.びせる; あ.びる; えき; さこ,10,6D74
略,abbreviation; capture; omission; outline; plunder; shorten,リャク; おか.す; おさ.める; はか.る; はかりごと; はぶ.く; ほぼ,11,7565
縁,affinity; border; brink; connection; edge; relation; verge,-ネン; エン; えにし; ふち; ふち.どる; へり; ゆかり; よすが,15,7E01
列,column; file; rank; row; tier,レ; レツ; れっ,6,5217
話,tale; talk,ワ; はな.す; はなし,13,8A71
悪,bad; evil; false; rascal; vice; wrong,アク; オ; -にく.い; あ.し; ああ; いずくに; いずくんぞ; にく.い; にく.む; わる-; わる.い,11,60AA
意,care; desire; heart; idea; liking; mind; taste; thought,イ; もと; よし,13,610F
印,India; emblem; evidence; imprint; mark; seal; souvenir; stamp; symbol; trademark,イン; -じるし; しる.す; しるし,6,5370
営,build; camp; conduct (business); perform,エイ; いとな.み; いとな.む,12,55B6
園,farm; garden; park; yard,エン; その; おん; ぞの,13,5712
黄,yellow,オウ; コウ; き; こ-; うい; れい,11,9EC4
価,price; value,カ; ケ; あたい,8,4FA1
花,flower,カ; ケ; はな; わ,7,82B1
解,absolve; answer; cancel; explain; explanation; key; minute; notes; solve; understanding; undo; unravel; untie,カイ; ゲ; さと.る; と.かす; と.く; と.ける; ほど.く; ほど.ける; わか.る; さとる; とけ,13,89E3
貝,shellfish,バイ; かい,7,8C9D
学,learning; science; study,ガク; まな.ぶ; たか; のり,8,5B66
幹,capability; main part; talent; tree trunk,カン; みき; えだ; き; くる; たかし; つね; つよし; とも; まさ; み; もと; もとき; よし; より,13,5E79
岸,beach,ガン; きし; けし,8,5CB8
旗,banner; national flag; standard,キ; はた,14,65D7
貴,esteem; honor; precious; prize; value,キ; たっと.い; たっと.ぶ; とうと.い; とうと.ぶ; きよ; ぎ; たか; たかし; よし,12,8CB4
宮,Shinto shrine; constellations; palace; princess,キュウ; ク; クウ; グウ; みや; ぐ; み,10,5BAE
