kanji,unicode,stroke_number,jlpt,on_readings,kun_readings,name_readings
件,4EF6,6,N3,ケン,くだん,
絹,7D79,13,N1,ケン,きぬ,
言,8A00,7,N4,ゲン; ゴン,い.う; こと,とき
五,4E94,4,N5,ゴ,いつ; いつ.つ,い; さ; さつ; ち; ふ; み; め
功,529F,5,N1,ク; コウ,いさお,いさ; かつ; くぬ; ぐう; こと; つとむ; とし; のり; よし
康,5EB7,11,N1,コウ,,かん; こ; みち; やす; やすし
鉱,9271,13,N2,コウ,あらがね,
混,6DF7,11,N2,コン,-ま.じり; こ.む; ま.ざる; ま.じる; ま.ぜる,
災,707D,7,N1,サイ,わざわ.い,
作,4F5C,7,N4,サ; サク,-づく.り; つく.り; つく.る,くり; さか; さっ; づくり; とも; なお; はぎ; まさか
散,6563,12,N3,サン,-ち.らす; ち.らかす; ち.らかる; ち.らす; ち.らばる; ち.る; ばら; ばら.ける,ちる
史,53F2,5,N2,シ,,あきら; あや; お; こ; ちか; とし; なか; のぶ; ひさ; ひと; ふみ
指,6307,9,N3,シ,-さ.し; さ.す; ゆび,い; いぶ; さし; さす
詞,8A5E,12,N2,シ,ことば,
持,6301,9,N4,ジ,-も.ち; も.つ; も.てる,もち; もつ
七,4E03,2,N5,シチ,なな; なな.つ; なの,し; しっ; な; ひち
車,8ECA,7,N5,シャ,くるま,くら; くろま
首,9996,9,N3,シュ,くび,おびと; こべ; す
拾,62FE,9,N2,シュウ; ジュウ,ひろ.う,
重,91CD,9,N4,ジュウ; チョウ,え; おも; おも.い; おも.なう; おも.り; かさ.なる; かさ.ねる,さね; しげ; しげる
処,51E6,5,N3,ショ,-こ; お.る; ところ,
勝,52DD,12,N3,ショウ,-が.ち; か.つ; かつ; すぐ.れる; まさ.る,かち; と; よし
照,7167,13,N2,ショウ,て.らす; て.る; て.れる,あき; てる
常,5E38,11,N3,ジョウ,つね; とこ-,とき; のぶ; ひ; ひた
心,5FC3,4,N4,シン,-ごころ; こころ,
進,9032,11,N3,シン,すす.む; すす.める,のぶ
勢,52E2,13,N2,セイ; ゼイ,いきお.い; はずみ,せ
精,7CBE,14,N3,ショウ; セイ,くわ.しい; しら.げる,きよ
石,77F3,5,N3,コク; シャク; セキ,いし,いさ; いす; いわ; し; せっく; と
説,8AAC,14,N3,セツ; ゼイ,と.く,さとし; とき
浅,6D45,9,N2,セン,あさ.い,あざ; さ
素,7D20,10,N1,ス; ソ,もと,
走,8D70,7,N4,ソウ,はし.る,はしり
足,8DB3,7,N4,ソク,あし; た.す; た.りる; た.る,あ; あす; おす; たらし
損,640D,13,N2,ソン,-そこ.なう; -そこ.ねる; そこ.なう; そこ.ねる; そこな.う,
態,614B,14,N1,タイ,わざ.と,
谷,8C37,7,N2,コク,きわ.まる; たに,がい; がえ; がや; せ; たり; たん; や
池,6C60,6,N2,チ,いけ,
注,6CE8,8,N4,チュウ,さ.す; そそ.ぐ; つ.ぐ,
調,8ABF,15,N3,チョウ,しら.べ; しら.べる; ととの.う; ととの.える,ぎ; つぎ
底,5E95,8,N2,テイ,そこ,
天,5929,4,N5,テン,あま-; あまつ; あめ,あき; あも; た; たかし; て; なま
都,90FD,11,N3,ツ; ト,みやこ,くに; ず; ち; づめ; みや
湯,6E6F,12,N2,トウ,ゆ,
同,540C,6,N4,ドウ,おな.じ,
独,72EC,9,N1,トク; ドク,ひと.り,どいつ; どっ
入,5165,2,N5,ジュ; ニュウ,-い.り; -い.る; -い.れ; い.る; い.れる; はい.る,いり; いる; に; の; りり
波,6CE2,8,N2,ハ,なみ,ひら; みな; みなみ; わ
博,535A,12,N1,ハク; バク,,ぐれ; と; はか; ひろ
版,7248,8,N2,ハン,,
非,975E,8,N3,ヒ,あら.ず,
氷,6C37,5,N2,ヒョウ,こお.る; こおり; ひ,すい
夫,592B,4,N3,フ; フウ; ブ,おっと; それ,お; と; ゆう; よ
復,5FA9,12,N2,フク,また,
文,6587,4,N4,ブン; モン,あや; ふみ,かざり; ふ; も
返,8FD4,7,N3,ヘン,-かえ.す; -かえ.る; かえ.す; かえ.る,
報,5831,12,N3,ホウ,むく.いる,
牧,7267,8,N1,ボク,まき,ま; まい; もく
民,6C11,5,N3,ミン,たみ,ひと; み
面,9762,9,N3,ベン; メン,おも; おもて; つら,お; ずら; ほおつき; も
薬,85AC,16,N3,ヤク,くすり,み
予,4E88,4,N3,シャ; ヨ,あらかじ.め,
陽,967D,12,N3,ヨウ,ひ,あき; あきら; あけ; はる; ひろ; やん; よ
律,5F8B,9,N2,リチ; リツ; レツ,,たかし; のり
量,91CF,12,N2,リョウ,はか.る,かず
冷,51B7,7,N3,レイ,さ.ます; さ.める; つめ.たい; ひ.える; ひ.や; ひ.やかす; ひ.やす; ひ.ややか,
録,9332,16,N2,ロク,しる.す; と.る,
依,4F9D,8,N2,イ; エ,よ.る,よ; より
育,80B2,8,N3,イク,そだ.ち; そだ.つ; そだ.てる; はぐく.む,やす
雨,96E8,8,N5,ウ,-さめ; あま-; あめ,
益,76CA,10,N1,エキ; ヤク,ま.す,まし; ます
応,5FDC,7,N1,-ノウ; オウ; ヨウ,あた.る; こた.える; まさに,お; たか; まさ
化,5316,4,N3,カ; ケ,け.する; ば.かす; ば.ける; ふ.ける,
歌,6B4C,14,N4,カ,うた; うた.う,
芽,82BD,8,N1,ガ,め,じ; めぐ
絵,7D75,12,N3,エ; カイ,,
覚,899A,12,N3,カク,おぼ.える; さ.ます; さ.める; さと.る,
勧,52E7,13,N1,カン; ケン,すす.める,
間,9593,12,N5,カン; ケン,あい; あいだ; ま,ちか; は; はざ; はし
基,57FA,11,N1,キ,もと; もとい,きい; とも
紀,7D00,9,N1,キ,,おさむ; ただす; とし; とも; のり; もと
逆,9006,9,N2,ギャク; ゲキ,さか; さか.さ; さか.らう,
給,7D66,12,N3,キュウ,-たま.え; たま.う; たも.う,きい
供,4F9B,8,N3,キョウ; ク; クウ; グ,-ども; そな.える; とも,
業,696D,13,N4,ギョウ; ゴウ,わざ,なり; のぶ
銀,9280,14,N4,ギン,しろがね,うん; かな; かね
軍,8ECD,9,N2,グン,いくさ,
計,8A08,9,N4,ケイ,はか.らう; はか.る,え; かず; け
健,5065,11,N1,ケン,すこ.やか,かつ; たけ; たけし; たて; とし; やす; やすし
県,770C,9,N2,ケン,か.ける,あがた; がた
限,9650,9,N3,ゲン,-かぎ.り; かぎ.り; かぎ.る,
午,5348,4,N5,ゴ,うま,
効,52B9,8,N2,コウ,き.く; ききめ; なら.う,
校,6821,10,N5,キョウ; コウ,,めん
高,9AD8,10,N5,コウ,-だか; たか; たか.い; たか.まる; たか.める,か; こ; じょい; た; はか
左,5DE6,5,N5,サ; シャ,ひだり,そ
祭,796D,11,N2,サイ,まつ.り; まつ.る; まつり,
昨,6628,9,N3,サク,,
産,7523,11,N3,サン,う.まれる; う.む; うぶ-; む.す,もと
