kanji,unicode,stroke_number,jlpt,on_readings,kun_readings,name_readings
等,7B49,12,N3,トウ,-ら; など; ひと.しい,と; ひ
童,7AE5,12,N2,ドウ,わらべ,ぱ
内,5185,4,N3,ダイ; ナイ,うち,いと; ただ; ち; のち
熱,71B1,15,N3,ネツ,あつ.い,あた
馬,99AC,10,N3,バ,うま; うま-; ま,た; ばん; め; も
畑,7551,9,,,-ばたけ; はた; はたけ,かま; まま
番,756A,12,N3,バン,つが.い,は; ま
美,7F8E,9,N3,ビ; ミ,うつく.しい,はる; よし; よしみ; り
評,8A55,12,N1,ヒョウ,,
布,5E03,5,N2,フ; ホ,きれ; し.く; ぬの,う; の; ほ
福,798F,13,N3,フク,,とし; とみ; ふ; ふき; ふっ; ぼく; よし
弁,5F01,5,N1,ヘン; ベン,あらそ.う; かんむり; はなびら; わ.ける; わきま.える,べ
法,6CD5,8,N3,ハッ; フラン; ホウ; ホッ,のり,ほ
毎,6BCE,6,N5,マイ,-ごと.に; ごと,つね
名,540D,6,N5,ミョウ; メイ,-な; な,と
目,76EE,5,N4,ボク; モク,-め; ま-; め,さかん; さがん; さっか; さつか
輸,8F38,16,N2,シュ; ユ,,
容,5BB9,10,N3,ヨウ,い.れる,かた; ひろ; まさ
浴,6D74,10,N2,ヨク,あ.びせる; あ.びる,えき; さこ
略,7565,11,N2,リャク,おか.す; おさ.める; はか.る; はかりごと; はぶ.く; ほぼ,
縁,7E01,15,N1,-ネン; エン,えにし; ふち; ふち.どる; へり; ゆかり; よすが,
列,5217,6,N3,レ; レツ,,れっ
話,8A71,13,N5,ワ,はな.す; はなし,
悪,60AA,11,N4,アク; オ,-にく.い; あ.し; ああ; いずくに; いずくんぞ; にく.い; にく.む; わる-; わる.い,
意,610F,13,N4,イ,,もと; よし
印,5370,6,N2,イン,-じるし; しる.す; しるし,
営,55B6,12,N2,エイ,いとな.み; いとな.む,
園,5712,13,N3,エン,その,おん; ぞの
黄,9EC4,11,N2,オウ; コウ,き; こ-,うい; れい
価,4FA1,8,N1,カ; ケ,あたい,
花,82B1,7,N4,カ; ケ,はな,わ
解,89E3,13,N3,カイ; ゲ,さと.る; と.かす; と.く; と.ける; ほど.く; ほど.ける; わか.る,さとる; とけ
貝,8C9D,7,N2,バイ,かい,
学,5B66,8,N5,ガク,まな.ぶ,たか; のり
幹,5E79,13,N1,カン,みき,えだ; き; くる; たかし; つね; つよし; とも; まさ; み; もと; もとき; よし; より
岸,5CB8,8,N2,ガン,きし,けし
旗,65D7,14,N1,キ,はた,
貴,8CB4,12,N1,キ,たっと.い; たっと.ぶ; とうと.い; とうと.ぶ,きよ; ぎ; たか; たかし; よし
宮,5BAE,10,N1,キュウ; ク; クウ; グウ,みや,ぐ; み
去,53BB,5,N4,キョ; コ,-さ.る; さ.る,い
協,5354,8,N2,キョウ,,
極,6975,12,N2,キョク; ゴク,-ぎ.め; き.まる; き.める; きわ.まり; きわ.まる; きわ.み; きわ.める,
区,533A,4,N2,オウ; ク; コウ,,
兄,5144,5,N4,キョウ; ケイ,あに,え; せ; よし
欠,6B20,4,N3,ケツ; ケン,か.く; か.ける,
建,5EFA,9,N4,ケン; コン,-だ.て; た.つ; た.て; た.てる,たけ; たつ; たて
験,9A13,18,N4,ケン; ゲン,あかし; しるし; ため.す; ためし,
固,56FA,8,N2,コ,かた.い; かた.まり; かた.まる; かた.める,
誤,8AA4,14,N3,ゴ,-あやま.る; あやま.る,
向,5411,6,N3,コウ,-む.き; -む.け; む.い; む.かい; む.かう; む.く; む.ける; む.こう; む.こう-; むか.い; むこ,こお; た; な; むか; むかい; むこう
皇,7687,9,N1,オウ; コウ,,おうじ; おお; み
告,544A,7,N3,コク,つ.げる,い
再,518D,6,N2,サ; サイ,ふたた.び,ふた
際,969B,14,N3,サイ,-ぎわ; きわ,わ
察,5BDF,14,N3,サツ,,
賛,8CDB,15,N3,サン,たす.ける; たた.える,
姉,59C9,8,N4,シ,あね; はは,
氏,6C0F,4,N1,シ,-うじ; うじ,
歯,6B6F,12,N3,シ,は; よわ.い; よわい; よわい.する,
示,793A,5,N3,シ; ジ,しめ.す,
実,5B9F,8,N3,シツ; ジツ,まこと; み; みち.る; みの; みの.る,ぐみ; さね
主,4E3B,5,N4,シュ; シュウ; ス,あるじ; おも; ぬし,かず; ず; もん
収,53CE,4,N3,シュウ,おさ.まる; おさ.める,のぶ
衆,8846,12,N1,シュ; シュウ,おお.い,
術,8853,11,N3,ジュツ,すべ,
書,66F8,10,N5,ショ,-が.き; -がき; か.く,かき
少,5C11,4,N4,ショウ,すく.ない; すこ.し,
証,8A3C,12,N1,ショウ,あかし,
植,690D,12,N2,ショク,う.える; う.わる,うえ; え; げ
申,7533,5,N3,シン,さる; もう.し-; もう.す,
推,63A8,11,N1,スイ,お.す,
整,6574,16,N1,セイ,ととの.う; ととの.える,ひとし
西,897F,6,N5,サイ; ス; セイ,にし,いり; ひし; むら
赤,8D64,7,N4,シャク; セキ,あか; あか-; あか.い; あか.らむ; あか.らめる,あ; あこ; あま
先,5148,6,N5,セン,さき; ま.ず,ぽん
銭,92AD,14,N1,セン; ゼン,すき; ぜに,
想,60F3,13,N3,ソ; ソウ,おも.う,
蔵,8535,15,N2,ソウ; ゾウ,おさ.める; かく.れる; くら,くらし; くらん; くろう; さし; ざ; ろう
族,65CF,11,N4,ゾク,,つぎ
太,592A,4,N3,タ; タイ,ふと.い; ふと.る,おお; たか; ひろ
代,4EE3,5,N4,タイ; ダイ,-が.わり; -がわ.り; か.える; か.わり; か.わる; かわ.り; かわ.る; しろ; よ,す
団,56E3,6,N2,ダン; トン,かたまり; まる.い,
茶,8336,9,N4,サ; チャ,,ちや
丁,4E01,2,N1,チ; チョウ; チン; テイ; トウ,ひのと,
賃,8CC3,13,N1,チン,,すけ
程,7A0B,12,N3,テイ,-ほど; ほど,ほと
点,70B9,9,N3,テン,さ.す; た.てる; つ.く; つ.ける; とぼ.す; とも.す; ぼち,
党,515A,10,N2,トウ,なかま; むら,
答,7B54,12,N4,トウ,こた.え; こた.える,どう
道,9053,12,N4,トウ; ドウ,いう; みち,おさむ; さ; じ; ど; みつ
南,5357,9,N5,ナ; ナン,みなみ,なみ; は; みな; みまみ
年,5E74,6,N5,ネン,とし,ね
拝,62DD,8,N2,ハイ,おが.む; おろが.む,
八,516B,2,N5,ハチ; ハツ,や; や.つ; やっ.つ; よう,な; は; はっ; やち; やつ
否,5426,7,N3,ヒ,いな; いや,
鼻,9F3B,14,N2,ビ,はな,
病,75C5,10,N4,ビョウ; ヘイ,-や.み; や.む; やまい,
府,5E9C,8,N2,フ,,い; う; お; はん
複,8907,14,N2,フク,,
陛,965B,10,N1,ヘイ,,
保,4FDD,9,N1,ホ; ホウ,たも.つ,う; お; ぶ; もり; やす; やすし
豊,8C4A,13,N2,ブ; ホウ,とよ; ゆた.か,て; で; と; ひろし; ふう; ぶん; ほ; ゆたか
末,672B,5,N3,バツ; マツ,うら; うれ; すえ,
命,547D,8,N3,ミョウ; メイ,いのち,
問,554F,11,N4,モン,と.い; と.う; とん,はる
勇,52C7,9,N2,ユウ,いさ.む,お; はや
曜,66DC,18,N4,ヨウ,,てる
来,6765,7,N5,タイ; ライ,き; き.たす; き.たる; きた.す; きた.る; く.る; こ,くり; くる; ごろ; さ
流,6D41,10,N3,リュウ; ル,-なが.す; なが.す; なが.れ; なが.れる,な; ながれ; めぐる
林,6797,8,N2,リン,はやし,し
練,7DF4,14,N2,レン,ね.り; ね.る,ねり
圧,5727,5,N2,アツ; エン; オウ,お.さえる; お.す; おさ.える; へ.す,
易,6613,8,N3,イ; エキ,やさ.しい; やす.い,
員,54E1,10,N4,イン,,いな; かず
栄,6804,9,N2,エイ; ヨウ,-ば.え; え; さか.える; は.え; は.える,さかえ; しげ; てる; なが; ひで; よし
延,5EF6,8,N2,エン,の.ばす; の.びる; の.べ; の.べる,たか; のぶ; のべ
億,5104,15,N2,オク,,お
加,52A0,5,N3,カ,くわ.える; くわ.わる,
荷,8377,10,N2,カ,に,はす; り
回,56DE,6,N3,エ; カイ,-まわ.し; -まわ.す; -まわ.り; -まわ.る; か.える; まわ.し-; まわ.す; まわ.る; もとお.る,
外,5916,5,N5,ガイ; ゲ,そと; と-; はず.す; はず.れる; ほか,うい; け; ふか
楽,697D,13,N4,ガク; ゴウ; ラク,この.む; たの.しい; たの.しむ,さ; た; やす; ら
感,611F,13,N3,カン,,
眼,773C,11,N1,ガン; ゲン,まなこ; め,
期,671F,12,N3,キ; ゴ,,
起,8D77,10,N4,キ,お.きる; お.こす; お.こる; おこ.す; た.つ,
急,6025,9,N4,キュウ,いそ.ぎ; いそ.ぐ; せ.く,
居,5C45,8,N3,キョ; コ,-い; い.る; お.る,おき; ぐ; すえ
境,5883,14,N2,キョウ; ケイ,さかい,さか; じき
玉,7389,5,N2,ギョク,-だま; たま; たま-,おう; だん
苦,82E6,8,N3,ク,-ぐる.しい; くる.しい; くる.しむ; くる.しめる; にが.い; にが.る,
型,578B,9,N2,ケイ,-がた; かた,
決,6C7A,7,N3,ケツ,-ぎ.め; き.まる; き.める; さ.く,
憲,61B2,16,N1,ケン,,かず; のり; よし
元,5143,4,N4,ガン; ゲン,もと,ちか; はじめ; はる; ゆき; よし
己,5DF1,3,N1,キ; コ,おのれ; つちのと; な,し; み
護,8B77,20,N1,ゴ,まも.る,もり
后,540E,6,N1,コウ; ゴ,きさき,
耕,8015,10,N2,コウ,たがや.す,こお
国,56FD,8,N5,コク,くに,くな; こ
最,6700,12,N3,サイ; シュ,つま; もっと.も,も
在,5728,6,N3,ザイ,あ.る,あり
殺,6BBA,10,N3,サイ; サツ; セツ,-ごろ.し; あや.める; ころ.す; そ.ぐ,
酸,9178,14,N1,サン,す.い,
子,5B50,3,N5,シ; ス; ツ,-こ; こ; ね,い; き; ぎ; く; け; ねっ
私,79C1,7,N4,シ,わたくし; わたし,
事,4E8B,8,N4,ジ; ズ,こと; つか.う; つか.える,ろ
耳,8033,6,N3,ジ,みみ,がみ
舎,820E,8,N1,シャ; セキ,やど.る,さ; とり
取,53D6,8,N3,シュ,-ど.り; と.り; と.り-; と.る; とり,どる
周,5468,8,N2,シュウ,まわ.り,あまね; しゅ; す; ちか; のり; ひろ; びび; まこと
週,9031,11,N4,シュウ,,
述,8FF0,8,N2,ジュツ,の.べる,
諸,8AF8,15,N2,ショ,もろ,
承,627F,8,N2,ショウ; ジョウ,う.ける; うけたまわ.る,うけ; こと; すけ; つぎ; つぐ; よし
象,8C61,12,N2,ショウ; ゾウ,かたど.る,きさ
織,7E54,18,N1,シキ; ショク,-お.り; -おり; お.り; お.る; おり,こおり; こり; のり
真,771F,10,N4,シン,ま; ま-; まこと,さな; さね; ただ; ただし; なお; のり; まあ; まこ; まさ; まっ; まど; まな; まゆ; みち; も
水,6C34,4,N5,スイ,みず; みず-,うず; ずみ; つ; ど; み; みさ; みつ; みな; みん
星,661F,9,N2,ショウ; セイ,-ぼし; ほし,
誠,8AA0,13,N1,セイ,まこと,きよ; さと; しげ; とも; のぶ; ま; まこ; まさ
切,5207,4,N4,サイ; セツ,-き.り; -き.る; -き.れ; -き.れる; -ぎ.り; -ぎ.れ; き.り; き.る; き.れ; き.れる,きつ; きり; ぎり
千,5343,3,N5,セン,ち,かず; ゆき
前,524D,9,N5,ゼン,-まえ; まえ,さき; さと; まい
早,65E9,6,N4,サッ; ソウ,さ-; はや; はや-; はや.い; はや.まる; はや.める,さか; さわ; そ; わ
造,9020,10,N2,ゾウ,-づく.り; つく.り; つく.る,ずくり; づくり; み
続,7D9A,13,N3,キョウ; コウ; ショク; ゾク,つぐ.ない; つづ.く; つづ.ける,つぐ
打,6253,5,N3,ダ; ダース,う.ち-; う.つ; ぶ.つ,うち
台,53F0,5,N4,タイ; ダイ,うてな; つかさ; われ,
断,65AD,11,N3,ダン,ことわ.る; さだ.める; た.つ,
着,7740,12,N4,ジャク; チャク,き.せる; き.る; つ.く; つ.ける,
帳,5E33,11,N1,チョウ,とばり,
追,8FFD,9,N3,ツイ,お.う,おい
敵,6575,15,N1,テキ,あだ; かたき; かな.う,
伝,4F1D,6,N3,テン; デン,-づた.い; つた.う; つた.える; つた.わる; つだ.う; つて,つたえ
冬,51AC,5,N4,トウ,ふゆ,
統,7D71,12,N1,トウ,す.べる; ほび.る,のり; むね
銅,9285,14,N2,ドウ,あかがね,
難,96E3,18,N3,ナン,-がた.い; -にく.い; かた.い; むずか.しい; むつか.しい; むづか.しい,な; なに
念,5FF5,8,N3,ネン,,
敗,6557,11,N3,ハイ,やぶ.れる,
発,767A,9,N4,ハツ; ホツ,あば.く; おこ.る; た.つ; つか.わす; はな.つ,ば; わ
悲,60B2,12,N3,ヒ,かな.しい; かな.しむ,
必,5FC5,5,N3,ヒツ,かなら.ず,
秒,79D2,9,N2,ビョウ,,
父,7236,4,N5,フ,ちち,
仏,4ECF,4,N2,フツ; ブツ,ほとけ,
米,7C73,6,N3,ベイ; マイ; メエトル,こめ; よね,は; べ; まべ; め; よ; よな; よの; よま
歩,6B69,8,N4,フ; ブ; ホ,あゆ.む; ある.く,あ; ゆき; ゆみ
暴,66B4,15,N2,バク; ボウ,あば.く; あば.れる,
万,4E07,3,N5,バン; マン,よろず,かず; ま; ゆる
明,660E,8,N4,ミョウ; ミン; メイ,-あ.け; あ.かす; あ.かり; あ.く; あ.くる; あ.ける; あか.らむ; あか.るい; あか.るむ; あき.らか,あきら; あけ; あす; きら; け; さや; さやか; とし; はる; み; め
門,9580,8,N2,モン,かど; と,じょう; と; も; ゆき
友,53CB,4,N5,ユウ,とも,う; ど; ゆ
様,69D8,14,N3,ショウ; ヨウ,さま; さん,
落,843D,12,N3,ラク,お.ち; お.ちる; お.とす,おち
留,7559,10,N3,リュウ; ル,と.まる; と.める; とど.まる; とど.める; るうぶる,とめ
臨,81E8,18,N1,リン,のぞ.む,み
連,9023,10,N3,レン,-づ.れ; つ.れる; つら.なる; つら.ねる,ずれ; つれ; むらじ; れ
安,5B89,6,N4,アン,やす; やす.い; やす.まる; やす.らか,あ; あす; あず; あっ; や
異,7570,11,N1,イ,け; こと; こと.なる,
因,56E0,6,N3,イン,ちな.む; よ.る,て
永,6C38,5,N2,エイ,なが.い,え; と; のり; ひさ; ひさし
演,6F14,14,N3,エン,,
屋,5C4B,9,N4,オク,や,た
可,53EF,5,,カ; コク,-べ.き; -べ.し,よし
課,8AB2,15,N2,カ,,
快,5FEB,7,N2,カイ,こころよ.い,よし
害,5BB3,10,N3,ガイ,,
額,984D,18,N2,ガク,ひたい,ぬか
慣,6163,14,N3,カン,な.らす; な.れる,
岩,5CA9,8,N2,ガン,いわ,
機,6A5F,16,N3,キ,はた,
技,6280,7,N2,ギ,わざ,
救,6551,11,N1,キュウ,すく.う,
挙,6319,10,N1,キョ,あ.がる; あ.げる; こぞ.る,たか
強,5F37,11,N4,キョウ; ゴウ,こわ.い; し.いる; つよ.い; つよ.まる; つよ.める,すね
勤,52E4,12,N3,キン; ゴン,-づと.め; いそ.しむ; つと.まる; つと.める,
具,5177,8,N3,グ,そな.える; つぶさ.に,とも
形,5F62,7,N3,ギョウ; ケイ,-がた; かた; かたち; なり,ち
潔,6F54,15,N1,ケツ,いさぎよ.い,きよ; きよし
検,691C,12,N1,ケン,しら.べる,
原,539F,10,N3,ゲン,はら,た; ばる; ら; わた; わら
庫,5EAB,10,N2,ク; コ,くら,
交,4EA4,6,N3,コウ,-か.う; か.わす; かわ.す; こもごも; ま.ざる; ま.じる; ま.ぜる; まじ.える; まじ.る; まじ.わる,かた
孝,5B5D,7,,キョウ; コウ,,たか; たかし; のり; よし
考,8003,6,N4,コウ,かんが.え; かんが.える,たか
穀,7A40,14,N1,コク,,たけ
妻,59BB,8,N3,サイ,つま,ずま; め
材,6750,7,N2,ザイ,,き; さい
雑,96D1,14,N3,ザツ; ゾウ,まじ.える; まじ.る,
残,6B8B,10,N3,サン; ザン,そこな.う; のこ.す; のこ.り; のこ.る,
市,5E02,5,N3,シ,いち,い; ち
糸,7CF8,6,N2,シ,いと,
似,4F3C,7,N3,ジ,に.る; ひ.る,にた
自,81EA,6,N4,シ; ジ,おの.ずから; おの.ずと; みずか.ら,より
写,5199,5,N4,シャ; ジャ,うつ-; うつ.し; うつ.す; うつ.る,
守,5B88,6,N3,シュ; ス,-もり; かみ; まも.り; まも.る; もり,う; し; て; も
宗,5B97,8,N1,シュウ; ソウ,むね,かず; し; そ; そお; たか; とし; のり; ひろ; むな; もと; よし
集,96C6,12,N4,シュウ,あつ.まる; あつ.める; つど.う,あつまり; ず
春,6625,9,N4,シュン,はる,あずま; かす; すの; ひ; わら
助,52A9,7,N3,ジョ,す.ける; すけ; たす.かる; たす.ける,
招,62DB,8,N3,ショウ,まね.く,
賞,8CDE,15,N2,ショウ,ほ.める,
職,8077,18,N3,ショク; ソク,,もと
神,795E,9,N3,シン; ジン,かみ; かん-; こう-,か; かぐ; かな; かも; くま; こ; こは; だま; み
数,6570,13,N3,サク; シュ; ス; スウ; ソク,かず; かぞ.える; しばしば; せ.める; わずらわ.しい,じゅ
晴,6674,12,N3,セイ,-ば.れ; は.らす; は.れ; は.れ-; は.れる,はる; はれ
青,9752,8,N4,ショウ; セイ,あお; あお-; あお.い,お
接,63A5,11,N2,ショウ; セツ,つ.ぐ,
宣,5BA3,9,N1,セン,のたま.う,とおる; のぶ; のぼる; のり; ひさ; よし
善,5584,12,N1,ゼン,い.い; よ.い; よ.く; よし.とする,たる; よし
争,4E89,6,N3,ソウ,あらそ.う; いか.でか,
側,5074,11,N3,ソク,かわ; がわ; そば,
卒,5352,8,N2,シュツ; ソツ,お.える; お.わる; そっ.する; ついに; にわか,
体,4F53,7,N4,タイ; テイ,かたち; からだ,なり
大,5927,3,N5,タイ; ダイ,-おお.いに; おお-; おお.きい,うふ; お; おう; た; たかし; とも; はじめ; ひろ; ひろし; まさ; まさる; もと; わ
男,7537,7,N5,ダン; ナン,お; おとこ,み
中,4E2D,4,N5,チュウ,あた.る; うち; なか,あたる; かなえ
張,5F35,11,N1,チョウ,-は.り; -ば.り; は.る,はり; わり
通,901A,10,N4,ツ; ツウ,-とお.り; -どお.し; -どお.り; かよ.う; とお.し; とお.す; とお.り; とお.る,とん; どうし; どおり; みち
的,7684,8,,テキ,まと,いくは; ゆくは
田,7530,5,N4,デン,た,いなか; おか; たん; で; とう; や
刀,5200,2,N1,トウ,かたな; そり,き; ち; と; わき
討,8A0E,10,N1,トウ,う.つ,
得,5F97,11,N3,トク,う.る; え.る,あつ; てろ
二,4E8C,2,N5,ジ; ニ,ふた; ふた.つ; ふたたび,おと; つぎ; つぐ; にい; は; ふ; ふたつ; ふだ; わ
燃,71C3,16,N2,ネン,も.える; も.す; も.やす,
配,914D,10,N3,ハイ,くば.る,
判,5224,7,N3,ハン; バン,わか.る,
比,6BD4,4,N2,ヒ,くら.べる,い; ぴっ
筆,7B46,12,N2,ヒツ,ふで,はじめ
品,54C1,9,N4,ヒン; ホン,しな,
負,8CA0,9,N3,フ,お.う; ま.かす; ま.ける,
物,7269,8,N4,ブツ; モツ,もの; もの-,
別,5225,7,N4,ベツ,わ.ける; わか.れる,べっ
補,88DC,12,N2,ホ,おぎな.う,
望,671B,11,N3,ボウ; モウ,のぞ.む; もち,み; も
満,6E80,12,N3,バン; マン,み.たす; み.ちる; み.つ,ま; みち; みつ; みつる
盟,76DF,13,N1,メイ,,
夜,591C,8,N4,ヤ,よ; よる,
有,6709,6,N4,ウ; ユウ,あ.る,あ; あら; あり; ある; くに; なお; ゆ
洋,6D0B,9,N4,ヨウ,,なだ; ひろ; ひろし; よ; よし
利,5229,7,N3,リ,き.く,かが; と; とし; のり; み; りい
旅,65C5,10,N4,リョ,たび,
輪,8F2A,15,N2,リン,わ,なわ; も
路,8DEF,13,N3,ル; ロ,-じ; みち,
暗,6697,13,N3,アン,くら.い; くら.む; くれ.る,
移,79FB,11,N2,イ,うつ.す; うつ.る,
引,5F15,4,N3,イン,ひ.く; ひ.ける,いな; ひき; ひけ; びき
泳,6CF3,8,N3,エイ,およ.ぐ,
遠,9060,13,N3,エン; オン,とお.い,お; おに; ど; どお
恩,6069,10,N1,オン,,めぐみ
夏,590F,10,N4,カ; ガ; ゲ,なつ,
貨,8CA8,11,N2,カ,たから,
改,6539,7,N2,カイ,あらた.まる; あらた.める,
各,5404,6,N2,カク,おのおの,かか; かが
活,6D3B,9,N3,カツ,い.かす; い.きる; い.ける,
歓,6B53,15,N1,カン,よろこ.ぶ,ぶ
顔,9854,18,N3,ガン,かお,
帰,5E30,10,N4,キ,おく.る; かえ.す; かえ.る; とつ.ぐ,
疑,7591,14,N3,ギ,うたが.う,
求,6C42,7,N3,キュウ; グ,もと.める,
許,8A31,11,N3,キョ,もと; ゆる.す,
教,6559,11,N4,キョウ,おし.える; おそ.わる,のり; ひさ
均,5747,7,N2,キン,なら.す,ひとし
空,7A7A,8,N4,クウ,あ.き; あ.く; あ.ける; から; す.かす; す.く; そら; むな.しい,うつ; き; く
敬,656C,12,N2,キョウ; ケイ,うやま.う,け; たか; たかし; たけ; とし; のり; ひろ; ゆき; よし
結,7D50,12,N1,ケチ; ケツ,むす.ぶ; ゆ.う; ゆ.わえる,ゆい; ゆう
権,6A29,15,N3,ケン; ゴン,おもり; かり; はか.る,
厳,53B3,17,N1,ゲン; ゴン,いか.めしい; いつくし; おごそ.か; きび.しい,いつ; いづ; きゅうら; とし
戸,6238,4,N2,コ,と,え; へ
候,5019,10,N3,コウ,そうろう,
工,5DE5,3,N4,ク; グ; コウ,,もく
航,822A,10,N2,コウ,,わたる
黒,9ED2,11,N4,コク,くろ; くろ.い; くろ.ずむ,
才,624D,3,N3,サイ,,
罪,7F6A,13,N3,ザイ,つみ,
三,4E09,3,N5,サン; ゾウ,み; み.つ; みっ.つ,か; さ; さい; さえ; さぶ; ざ; ざえ; ざぶ; そう; ぞ; ただ; みつ; みん; も; や
仕,4ED5,5,N4,シ; ジ,つか.える,
師,5E2B,10,N3,シ,いくさ,かず; つかさ; のし; のり; みつ; もと; もろ
紙,7D19,10,N4,シ,かみ,
児,5150,7,N2,ゲイ; ジ; ニ,-こ; -っこ; こ,る
辞,8F9E,13,N3,ジ,いな.む; や.める,
社,793E,7,N4,シャ,やしろ,こそ
手,624B,4,N4,シュ; ズ,-て; た-; て; て-,
就,5C31,12,N1,シュウ; ジュ,つ.く; つ.ける,たか; なり
住,4F4F,7,N4,ジュウ; チュウ; ヂュウ,-ず.まい; す.まう; す.む,し; じゅ; すみ
準,6E96,13,N2,ジュン,じゅん.じる; じゅん.ずる; なぞら.える; のり; ひと.しい; みずもり,
女,5973,3,N5,ジョ; ニョ; ニョウ,おんな; め,おな; た; つき; な
昭,662D,9,N1,ショウ,,あき; あきら; かず; かずみ; てる
上,4E0A,3,N5,シャン; ショウ; ジョウ,-あ.がり; -あ.がる; -あ.げる; -うえ; あ.がり; あ.がる; あ.げる; うえ; うわ-; かみ; たてまつ.る; のぼ.す; のぼ.せる; のぼ.り; のぼ.る,あおい; あげ; い; か; かき; かず; かん; こう; のぼり; ほつ
色,8272,6,N4,シキ; ショク,いろ,しか; しこ
臣,81E3,7,N2,シン; ジン,,おみ; たか; と; とみ; み
世,4E16,5,N4,セ; セイ; ソウ,よ,とし; ゆ; ゆき
正,6B63,5,N4,ショウ; セイ,ただ.しい; ただ.す; まさ; まさ.に,おお; くに; ただし; ま; まさし
静,9759,14,N3,ジョウ; セイ,しず-; しず.か; しず.まる; しず.める,しづ
折,6298,7,N3,シャク; セツ,-お.り; お.り; お.る; お.れる; おり,せき
専,5C02,9,N2,セン,もっぱ.ら,
然,7136,12,N3,ゼン; ネン,さ; しか; しか.し; しか.り,
相,76F8,9,N3,ショウ; ソウ,あい-,あ; い; おう; さ; さが; すけ
則,5247,9,N2,ソク,すなわち; のっと.る; のり,
存,5B58,6,N3,ソン; ゾン,あ.る; たも.つ; と.う; ながら.える,あり; まさ
対,5BFE,7,N3,タイ; ツイ,あいて; こた.える; そろ.い; つれあ.い; なら.ぶ; むか.う,つし
第,7B2C,11,N1,ダイ; テイ,,
談,8AC7,15,N3,ダン,,
忠,5FE0,8,N1,チュウ,,きよし; たた; ただ; ただし; なお
朝,671D,12,N4,チョウ,あさ,あ; あそ; ささ; ちか; とも
低,4F4E,7,N2,テイ,ひく.い; ひく.まる; ひく.める,
適,9069,14,N3,テキ,かな.う,
電,96FB,13,N5,デン,,
島,5CF6,10,N2,トウ,しま,
頭,982D,16,N3,ズ; ト; トウ,-がしら; あたま; かしら; かぶり,かみ; がみ; ちゃん; つむり; づ
徳,5FB3,14,N1,トク,,あつ; なる; のり; ゆき; よし
弐,5F10,6,N1,ジ; ニ,そえ; ふた.つ,
納,7D0D,10,N1,トウ; ナ; ナッ; ナン; ノウ,-おさ.める; おさ.まる; おさ.める,の; ろ
倍,500D,10,N2,バイ,,べ; ます
半,534A,5,N5,ハン,なか.ば,は
皮,76AE,5,N2,ヒ,かわ,
百,767E,6,N5,ヒャク; ビャク,もも,お; ど; どう; なり; ひゃっ; ひゅく; も; もんど; ゆう
貧,8CA7,11,N3,ヒン; ビン,まず.しい,
武,6B66,8,N2,ブ; ム,たけ; たけ.し,う; お; たけし; たけん; ん
分,5206,4,,フン; ブ; ブン,わ.かつ; わ.かる; わ.かれる; わ.け; わ.ける,いた; わけ
変,5909,9,N3,ヘン,か.える; か.わり; か.わる,
墓,5893,13,N1,ボ,はか,
貿,8CBF,12,N2,ボウ,,
味,5473,8,N4,ミ,あじ; あじ.わう,
迷,8FF7,9,N3,メイ,まよ.う,
野,91CE,11,N4,ショ; ヤ,の; の-,ずけ; つけ; ぬ
由,7531,5,N3,ユ; ユイ; ユウ,よ.る; よし,
用,7528,5,N4,ヨウ,もち.いる,たから
理,7406,11,N4,リ,ことわり,あや; おさむ; さと; さとる; ただ; ただし; とおる; に; のり; ひ; まこと; まさ; まさし; まろ; みち; よし
両,4E21,6,N3,リョウ,てる; ふたつ,もろ
類,985E,18,N3,ルイ,たぐ.い,
労,52B4,7,N3,ロウ,いた.ずき; いたわ.る; つか.れる; ねぎら; ねぎら.う; ろう.する,
案,6848,10,N1,アン,つくえ,
胃,80C3,9,N2,イ,,
飲,98F2,12,N4,イン; オン,-の.み; の.む,
英,82F1,8,N4,エイ,はなぶさ,あ; あい; え; すぐる; はな; ひ; ひで; よし; ら
塩,5869,13,N2,エン,しお,
温,6E29,12,N2,オン,あたた.か; あたた.かい; あたた.まる; あたた.める; ぬく,あつ; あつし; なお; はる; ゆ; ゆたか
家,5BB6,10,N4,カ; ケ,いえ; うち; や,あり; え; く; つか; べ
過,904E,12,N3,カ,あやま.ち; あやま.つ; す.ぎる; す.ごす; よ.ぎる; よぎ.る,
械,68B0,11,N2,カイ,かせ,
拡,62E1,8,N1,カク; コウ,ひろ.がる; ひろ.げる; ひろ.める,
株,682A,10,N1,シュ,かぶ,
漢,6F22,13,N4,カン,,はん
願,9858,19,N3,ガン,-ねがい; ねが.う,ら
気,6C17,6,N5,キ; ケ,き,
義,7FA9,13,N1,ギ,,ただし; ちか; のり; よし
球,7403,11,N3,キュウ,たま,く
漁,6F01,14,N2,ギョ; リョウ,あさ.る,
橋,6A4B,16,N2,キョウ,はし,ばせ
禁,7981,13,N2,キン,,
君,541B,7,N3,クン,-ぎみ; きみ,み
景,666F,12,N3,ケイ,,かげ
血,8840,6,N2,ケツ,ち,
犬,72AC,4,N4,ケン,いぬ; いぬ-,
減,6E1B,12,N2,ゲン,へ.らす; へ.る,
故,6545,9,N1,コ,ふる.い; もと; ゆえ,
光,5149,6,N3,コウ,ひか.る; ひかり,あき; あきら; こお; てる; ひこ; み; みつ
